X,Y,Z
-311,8319,0
-237,8345,0
-175,8408,0
-162,8439,0
-145,8520,0
-142,8588,0
-144,8626,0
-149,8669,0
-154,8702,0
-162,8740,0
-175,8794,0
-192,8862,0
-206,8913,0
-222,8973,0
-242,9049,0
-267,9145,0
-279,9193,0
-306,9301,0
-323,9372,0
-396,9760,0
-400,9790,0
-415,9948,0
-420,10035,0
-426,10251,0
-426,10517,0
-421,10680,0
-414,10808,0
-400,11005,0
-392,11085,0
-381,11192,0
-351,11418,0
-324,11570,0
-291,11722,0
-231,11943,0
-195,12053,0
-121,12246,0
-85,12328,0
28,12556,0
88,12662,0
170,12791,0
268,12929,0
324,13003,0
451,13150,0
695,13383,0
894,13541,0
1052,13651,0
1230,13761,0
1386,13845,0
1591,13943,0
1771,14018,0
1909,14067,0
2049,14110,0
2335,14181,0
2480,14210,0
2705,14248,0
2851,14270,0
3094,14302,0
3240,14318,0
3322,14325,0
3550,14344,0
3861,14370,0
4121,14393,0
4335,14409,0
4544,14424,0
4775,14438,0
4956,14448,0
5137,14457,0
5285,14464,0
5448,14470,0
5679,14480,0
5827,14485,0
5950,14489,0
6178,14497,0
6264,14501,0
6388,14508,0
6521,14525,0
6633,14553,0
6693,14574,0
6769,14608,0
6820,14642,0
6859,14679,0
7007,14923,0
7042,14956,0
7076,14982,0
7143,15025,0
7209,15058,0
7268,15081,0
7318,15097,0
7405,15119,0
7569,15153,0
7685,15173,0
7762,15187,0
7806,15196,0
7926,15226,0
8111,15281,0
8214,15312,0
8308,15341,0
8395,15368,0
8515,15409,0
8639,15454,0
8741,15494,0
8986,15589,0
9094,15628,0
9228,15675,0
9402,15733,0
9489,15763,0
9692,15827,0
9818,15860,0
9915,15876,0
10023,15883,0
10239,15860,0
10297,15844,0
10442,15783,0
10484,15759,0
10578,15691,0
10667,15603,0
10763,15466,0
10830,15319,0
10885,15128,0
10907,15009,0
10926,14865,0
10929,14843,0
10945,14683,0
10959,14507,0
10972,14326,0
10982,14166,0
10995,13978,0
11008,13824,0
11026,13641,0
11036,13536,0
11056,13322,0
11065,13189,0
11067,13058,0
11065,12981,0
11036,12806,0
11014,12738,0
10943,12608,0
10900,12552,0
10846,12495,0
10784,12442,0
10723,12399,0
10650,12352,0
10526,12283,0
10403,12220,0
10276,12156,0
10145,12091,0
10040,12036,0
9945,11985,0
9793,11903,0
9705,11856,0
9581,11789,0
9374,11678,0
9233,11600,0
9066,11505,0
8933,11428,0
8772,11336,0
8633,11259,0
8493,11180,0
8248,11042,0
8183,11005,0
8052,10929,0
7920,10852,0
7737,10740,0
7633,10671,0
7531,10601,0
7318,10440,0
7195,10339,0
6996,10178,0
6763,9980,0
6641,9874,0
6531,9778,0
6311,9586,0
6274,9554,0
6114,9415,0
5978,9297,0
5817,9157,0
5681,9039,0
5507,8888,0
5346,8747,0
5171,8596,0
5134,8563,0
4959,8412,0
4835,8303,0
4635,8130,0
4410,7934,0
4323,7858,0
4055,7625,0
3930,7516,0
3717,7331,0
3541,7179,0
3329,6994,0
3232,6910,0
3033,6736,0
2949,6662,0
2838,6560,0
2776,6500,0
2713,6434,0
2634,6331,0
2577,6209,0
2552,6090,0
2545,5956,0
2546,5785,0
2545,5688,0
2542,5609,0
2531,5487,0
2477,5274,0
2401,5096,0
2265,4894,0
2155,4774,0
2070,4689,0
1975,4580,0
1934,4520,0
1875,4413,0
1806,4218,0
1761,4011,0
1742,3878,0
1721,3647,0
1694,3357,0
1663,3045,0
1651,2922,0
1633,2716,0
1613,2493,0
1607,2432,0
1583,2174,0
1572,2051,0
1555,1866,0
1542,1725,0
1531,1600,0
1513,1410,0
1493,1187,0
1481,1059,0
1471,946,0
1451,735,0
1429,491,0
1406,245,0
1388,47,0
1373,-118,0
1359,-269,0
1330,-588,0
1302,-891,0
1287,-1053,0
1266,-1274,0
1244,-1513,0
1229,-1684,0
1208,-1907,0
1190,-2111,0
1160,-2436,0
1152,-2521,0
1127,-2794,0
1113,-2947,0
1086,-3237,0
1077,-3339,0
1050,-3628,0
1025,-3883,0
1010,-4036,0
972,-4390,0
938,-4654,0
918,-4780,0
899,-4878,0
834,-5137,0
776,-5297,0
685,-5463,0
628,-5536,0
571,-5594,0
501,-5652,0
345,-5740,0
230,-5778,0
108,-5798,0
14,-5801,0
-145,-5785,0
-642,-5567,0
-756,-5475,0
-855,-5380,0
-923,-5305,0
-1047,-5142,0
-1169,-4938,0
-1260,-4742,0
-1309,-4614,0
-1356,-4469,0
-1412,-4252,0
-1429,-4168,0
-1457,-3998,0
-1488,-3670,0
-1493,-3566,0
-1497,-3401,0
-1499,-3281,0
-1499,-3046,0
-1498,-2889,0
-1495,-2721,0
-1490,-2566,0
-1488,-2493,0
-1484,-2377,0
-1481,-2280,0
-1477,-2193,0
-1472,-2095,0
-1469,-2025,0
-1467,-1987,0
-1336,-1935,0
-1334,-1888,0
-1329,-1818,0
-1327,-1783,0
-1325,-1739,0
-1321,-1680,0
-1316,-1617,0
-1308,-1524,0
-1298,-1413,0
-1296,-1387,0
-1291,-1338,0
-1287,-1290,0
-1278,-1198,0
-1274,-1164,0
-1265,-1076,0
-1256,-988,0
-1252,-949,0
-1246,-892,0
-1238,-823,0
-1236,-802,0
-1231,-758,0
-1226,-709,0
-1222,-680,0
-1219,-649,0
-1215,-612,0
-1214,-598,0
-1211,-572,0
-1207,-537,0
-1204,-512,0
-1199,-466,0
-1198,-452,0
-1195,-430,0
-1190,-381,0
-1186,-348,0
-1182,-315,0
-1176,-255,0
-1174,-239,0
-1171,-208,0
-1165,-155,0
-1162,-125,0
-1157,-83,0
-1153,-50,0
-1150,-18,0
-1149,-6,0
-1148,1,0
-1147,16,0
-1144,40,0
-1141,74,0
-1138,100,0
-1138,109,0
-1136,130,0
-1134,146,0
-1132,161,0
-1131,178,0
-1129,201,0
-1127,214,0
-1124,244,0
-1122,267,0
-1120,292,0
-1118,308,0
-1116,331,0
-1114,351,0
-1113,356,0
-1111,381,0
-1109,401,0
-1107,422,0
-1105,441,0
-1103,464,0
-1102,470,0
-1101,481,0
-1100,490,0
-1098,507,0
-1097,516,0
-1097,524,0
-1095,538,0
-1094,553,0
-1093,561,0
-1093,565,0
-1091,582,0
-1090,595,0
-1088,608,0
-1087,617,0
-1087,625,0
-1084,646,0
-1083,658,0
-1081,677,0
-1080,690,0
-1076,726,0
-1075,743,0
-1072,763,0
-1072,772,0
-1067,816,0
-1064,846,0
-1061,873,0
-1059,894,0
-1056,926,0
-1053,953,0
-1050,984,0
-1047,1016,0
-1040,1077,0
-1039,1090,0
-1033,1146,0
-1030,1182,0
-1029,1188,0
-1024,1237,0
-1020,1277,0
-1016,1318,0
-1013,1348,0
-1010,1368,0
-1007,1406,0
-1003,1440,0
-998,1493,0
-994,1532,0
-989,1580,0
-980,1665,0
-978,1689,0
-974,1725,0
-967,1793,0
-963,1834,0
-957,1895,0
-955,1914,0
-953,1943,0
-948,1999,0
-945,2029,0
-942,2075,0
-939,2111,0
-937,2143,0
-935,2179,0
-934,2191,0
-931,2234,0
-930,2253,0
-929,2277,0
-927,2321,0
-926,2339,0
-925,2366,0
-924,2388,0
-923,2432,0
-921,2474,0
-921,2500,0
-921,2504,0
-921,2514,0
-921,2554,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-989,1580,0
-984,1627,0
-981,1657,0
-977,1696,0
-974,1724,0
-971,1749,0
-968,1782,0
-965,1809,0
-962,1839,0
-957,1891,0
-956,1904,0
-955,1914,0
-953,1934,0
-951,1961,0
-949,1987,0
-945,2032,0
-942,2079,0
-940,2105,0
-939,2120,0
-936,2156,0
-935,2179,0
-933,2201,0
-932,2224,0
-931,2240,0
-928,2293,0
-927,2316,0
-926,2353,0
-925,2375,0
-922,2453,0
-921,2483,0
-921,2504,0
-921,2505,0
-921,2521,0
-921,2551,0
-921,2573,0
-921,2587,0
-921,2626,0
-921,2645,0
-921,2665,0
-921,2678,0
-921,2690,0
-921,2705,0
-921,2713,0
-921,2722,0
-921,2724,0
-921,2727,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-989,1580,0
-984,1627,0
-981,1657,0
-977,1696,0
-974,1724,0
-971,1749,0
-968,1782,0
-965,1809,0
-962,1839,0
-957,1891,0
-956,1904,0
-955,1914,0
-953,1934,0
-951,1961,0
-949,1987,0
-945,2032,0
-942,2079,0
-940,2105,0
-939,2120,0
-936,2156,0
-935,2179,0
-933,2201,0
-932,2224,0
-931,2240,0
-928,2293,0
-927,2316,0
-926,2353,0
-925,2375,0
-922,2453,0
-921,2483,0
-921,2504,0
-921,2505,0
-921,2521,0
-921,2551,0
-921,2573,0
-921,2587,0
-921,2626,0
-921,2645,0
-921,2665,0
-921,2678,0
-921,2690,0
-921,2705,0
-921,2713,0
-921,2722,0
-921,2724,0
-921,2727,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2728,0
-921,2731,0
-921,2743,0
-921,2759,0
-921,2786,0
-921,2827,0
-921,2868,0
-921,2917,0
-921,2963,0
-921,3046,0
-921,3076,0
-921,3143,0
-921,3217,0
-921,3317,0
-922,3567,0
-922,3633,0
-921,3739,0
-920,3785,0
-917,3919,0
-910,4094,0
-903,4223,0
-899,4301,0
-881,4555,0
-874,4650,0
-858,4859,0
-851,4960,0
-840,5102,0
-819,5353,0
-803,5529,0
-783,5736,0
-769,5876,0
-781,6178,0
-772,6335,0
-754,6525,0
-738,6703,0
-724,6875,0
-700,7151,0
-679,7413,0
-668,7547,0
-656,7685,0
-645,7801,0
-636,7883,0
-630,7934,0
-614,8020,0
-599,8076,0
-574,8139,0
-550,8184,0
-500,8246,0
-444,8285,0
-397,8302,0
-363,8309,0
-311,8319,0
-237,8345,0
-175,8408,0
-162,8439,0
-145,8520,0
-142,8588,0
-144,8626,0
-149,8669,0
-154,8702,0
-162,8740,0
-175,8794,0
-192,8862,0
-206,8913,0
-222,8973,0
-242,9049,0
-267,9145,0
-279,9193,0
-306,9301,0
-323,9372,0
-396,9760,0
-400,9790,0
-415,9948,0
-420,10035,0
-426,10251,0
-426,10517,0
-421,10680,0
-414,10808,0
-400,11005,0
-392,11085,0
-381,11192,0
-351,11418,0
-324,11570,0
-98,158,0
-98,162,0
-98,165,0
-97,169,0
-97,172,0
-97,174,0
-96,178,0
-96,180,0
-96,183,0
-95,189,0
-95,190,0
-95,191,0
-95,193,0
-95,196,0
-94,198,0
-94,203,0
-94,207,0
-94,210,0
-93,212,0
-93,215,0
-93,217,0
-93,220,0
-93,222,0
-93,224,0
-92,229,0
-92,231,0
-92,235,0
-92,237,0
-92,245,0
-92,248,0
-92,250,0
-92,250,0
-92,252,0
-92,255,0
-92,257,0
-92,258,0
-92,262,0
-92,264,0
-92,266,0
-92,267,0
-92,269,0
-92,270,0
-92,271,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,272,0
-92,273,0
-92,274,0
-92,275,0
-92,278,0
-92,282,0
-92,286,0
-92,291,0
-92,296,0
-92,304,0
-92,307,0
-92,314,0
-92,321,0
-92,331,0
-92,356,0
-92,363,0
-92,373,0
-92,378,0
-91,391,0
-91,409,0
-90,422,0
-89,430,0
-88,455,0
-87,465,0
-85,485,0
-85,496,0
-84,510,0
-81,535,0
-80,552,0
-78,573,0
-76,587,0
-78,617,0
-77,633,0
-75,652,0
-73,670,0
-72,687,0
-70,715,0
-67,741,0
-66,754,0
-65,768,0
-64,780,0
-63,788,0
-63,793,0
-61,802,0
-59,807,0
-57,813,0
-55,818,0
-50,824,0
-44,828,0
-39,830,0
-36,830,0
-31,831,0
-23,834,0
-17,840,0
-16,843,0
-14,852,0
-14,858,0
-14,862,0
-14,866,0
-15,870,0
-16,874,0
-17,879,0
-19,886,0
-20,891,0
-22,897,0
-24,904,0
-26,914,0
-27,919,0
-30,930,0
-32,937,0
-39,976,0
-40,979,0
-41,994,0
-42,1003,0
-42,1025,0
-42,1051,0
-42,1068,0
-41,1080,0
-40,1100,0
-39,1108,0
-38,1119,0
-35,1141,0
-32,1157,0
-29,1172,0
-23,1194,0
-19,1205,0
-12,1224,0
-8,1232,0
2,1255,0
8,1266,0
17,1279,0
26,1292,0
32,1300,0
45,1315,0
69,1338,0
89,1354,0
105,1365,0
123,1376,0
138,1384,0
159,1394,0
177,1401,0
190,1406,0
204,1411,0
233,1418,0
248,1421,0
270,1424,0
285,1427,0
309,1430,0
324,1431,0
332,1432,0
355,1434,0
386,1437,0
412,1439,0
433,1440,0
454,1442,0
477,1443,0
495,1444,0
513,1445,0
528,1446,0
544,1447,0
567,1448,0
582,1448,0
595,1448,0
617,1449,0
626,1450,0
638,1450,0
652,1452,0
663,1455,0
669,1457,0
676,1460,0
682,1464,0
685,1467,0
700,1492,0
704,1495,0
707,1498,0
714,1502,0
720,1505,0
726,1508,0
731,1509,0
740,1511,0
756,1515,0
768,1517,0
776,1518,0
780,1519,0
792,1522,0
811,1528,0
821,1531,0
830,1534,0
839,1536,0
851,1540,0
863,1545,0
874,1549,0
898,1558,0
909,1562,0
922,1567,0
940,1573,0
948,1576,0
969,1582,0
981,1586,0
991,1587,0
1002,1588,0
1023,1586,0
1029,1584,0
1044,1578,0
1048,1575,0
1057,1569,0
1066,1560,0
1076,1546,0
1083,1531,0
1088,1512,0
1090,1500,0
1092,1486,0
-98,158,0
-98,162,0
-98,165,0
-97,169,0
-97,172,0
-97,174,0
-96,178,0
-96,180,0
-96,183,0
-95,189,0
-95,190,0
-95,191,0
-95,193,0
-95,196,0
-94,198,0
-94,203,0
-94,207,0
-94,210,0
-93,212,0
-93,215,0
-93,217,0
-93,220,0
-93,222,0
-93,224,0
-92,229,0
-92,231,0
-92,235,0
-92,237,0
-92,245,0
-92,248,0
-92,250,0
-92,250,0
-92,252,0
-92,255,0
-92,257,0
-92,258,0
-92,262,0
-92,264,0
-92,266,0
-92,267,0
-92,269,0
-92,270,0
-98,158,0
-98,162,0
-98,165,0
-97,169,0
-97,172,0
-97,174,0
-96,178,0
-96,180,0
-96,183,0
-95,189,0
-95,190,0
-95,191,0
-95,193,0
-95,196,0
-94,198,0
